,Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
,"Emergency Renovation of (i) 3 Classroom Block A and (ii) 3 Classroom Block B at Awori Ajeromi Senior Grammar School, Ojo (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202251785073,"31,729,431.25",DALKTRUXX GLOBAL NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022",OJO
,"Renovation of New Padded Fence in Anglican Primary School, Offin, Ikorodu (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202221603453,"34,899,412.00",ZONEWARE LIMITED,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022","Offin, Ikorodu"
,"Construction of Sleeping Quarters at the Three Asphalt Plants (Ojodu, Imota Badagry) Ojodu Asphalt Main Yard, Mechanical Workshop, Toilets and Store Reservation.",PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202250174161,"229,124,263.54",TRUSSET FUSSET INTEGRATED SERVICES LIMITED,Private Organization,,0,2021,ON-GOING,,"Monday, June 28, 2021","Wednesday, June 1, 2022",LAGOS
,"Construction of a Fence Work (650m Long) Raft Foundation at Agboju Senior Secondary School, Agboju, Ojo (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202274760221,"79,485,528.49",JOCHAFIK NIG COMPANY,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022","Agboju, Ojo"
,Refurbishment of Dust Control Unit at Ojodu Asphalt Plant.,PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202231335771,"16,997,480.75",KEMENG SERVICES LTD,Private Organization,,0,2021,ON-GOING,"The Contractor Design, Fabricate and installed the Dust Emission Unit Initially","Monday, June 21, 2021","Wednesday, June 1, 2022","OJODU, LAGOS"
,Procurement of Engineering Equipment for the Civil Engineering Department.,PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202248037568,"17,566,537.50",PAR SAR GRACE VENTURES,Private Organization,,0,2021,ON-GOING,,"Friday, June 18, 2021","Wednesday, June 1, 2022","IKEJA, LAGOS"
,Development of Network Infrastructure of Lagos State Public Works Corporation,PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202202447253,"15,015,202.25",TERIBITE TECHNOLOGIES LIMITED,Private Organization,,0,2021,ON-GOING,,"Tuesday, June 15, 2021","Wednesday, June 1, 2022","IKEJA, LAGOS"
,"Emergency Renovation of New Fence Work 50M Fence with Gate House at Anglican Primary School, Ijede, Ikorodu (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202246715786,"16,401,818.95",AOM NOBLE VENTURES,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022","Ijede, Ikorodu"
,"Construction of Hon. Idowu Eletu Street, Awoyaya in Ibjeu-Lekki LGA",PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202261145141,"207,095,646.38",TYNEDALE INVESTMENT LIMITED,Private Organization,,0,2021,ON-GOING,,"Friday, June 4, 2021","Wednesday, June 1, 2022",IBEJU LEKKI
,"Emergency Renovation of 5 Classrooms Block at Elepe Community Junior High School, Ikorodu (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202230428723,"22,527,695.16",GRANTISH NIGERIA LTD,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022",IKORODU
,34 Ward Intervention Road Projects in Lagos Central,PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202211503818,"792,606,494.00",ORIGIN ENGINEERING COMPANY LTD,Private Organization,,0,2021,ON-GOING,,"Wednesday, May 26, 2021","Wednesday, June 1, 2022",LAGOS
,"Construction of a Block of 12 Classrooms on Pad Foundation at Ilupeju Comprehensive High School, Oshodi (Education District VI)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202266210526,"182,878,507.48",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022",OSHODI
,Rehabilitation of Existing Perimeter Fence and the Mechanical Yard of Lagos State Public Works Corporation,PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202201575108,"9,727,811.31",INTEGRATED PROJECTS LIMITED,Private Organization,,0,2021,ON-GOING,,"Wednesday, May 26, 2021","Wednesday, June 1, 2022","IKEJA, LAGOS"
,Procurement and replacement of Burnt and Vandalized staff and project buses.,PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202212001388,"99,975,000.00",STALLION NMN LIMITED,Private Organization,,0,2021,ON-GOING,,"Friday, April 9, 2021","Wednesday, June 1, 2022","IKEJA, LAGOS"
,Furnishing and Equipping of the Renovated Auditorium,PUBLIC WORKS CORPORATION,ocds-5q8fsw-6202276773467,"9,814,551.66",INTEGRATED PROJECTS LIMITED,Private Organization,,0,2021,ON-GOING,,"Monday, March 29, 2021","Wednesday, June 1, 2022","IKEJA, LAGOS"
,"Procurement of Transformer Substation Materials at New Haven, Onimalu Road , Selewu Community in Igbobgo Baiyeku LCDA.",LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202237843881,"7,408,948.33",DEBBY AND SONS COMPANY,Private Organization,,0,2021,COMPLETED,COMPLETED,"Thursday, December 23, 2021","Wednesday, June 1, 2022","IGBOGBO BAIYEKU, LAGOS"
,"Procurement of High Tension , Low Tension Installation Materials and Other Services at New Haven, Onimalu Road, Selewu Community in Igbogbo Baiyeku LCDA.",LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202236010635,"2,615,421.25",DEBBY AND SONS COMPANY,Private Organization,,0,2021,COMPLETED,COMPLETED,"Thursday, December 23, 2021","Wednesday, June 1, 2022","IGBOGBO BAIYEKU, LAGOS"
,"RENOVATION OF BURNT PRINCIPAL OFFICE AT EPE SENIOR GRAMMAR SCHOOL, EPE LGA",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202285280738,"36,962,922.01",MICHELAD NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022",EPE LGA
,Renovation of Ebute Elefun and Tinubu Methodist Oil Mill at Lagos Island (Education District II),SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202236778271,"89,432,071.06",YOKSI S ENTERPRISES,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022",Lagos Island
,"Remedial Works on 324.8M Fence and Construction of 487.2M Fence at Local Government Primary School, Alawaye Road, Epe (Education District III)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202267843663,"71,270,911.47",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Private Organization,,0,2021,ONGOING,,"Tuesday, November 2, 2021","Wednesday, June 1, 2022",EPE
,RELOCATION MAKING THE NEW BUILDING /SURROUNDING CONDUCIVE FOR STAFF,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202208850162,"16,873,300.00",VERICON BUILDING AND FACILITIES MANAGEMENT LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETED,"Thursday, August 5, 2021","Wednesday, June 1, 2022","IKEJA, LAGOS"
,"Proposed Construction of 450M Perimeter Fence on Inverted T-Raft Foundation at Itun Agan Junior Secondary School, Amuwo Odofin (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202226643644,"58,436,572.15",TALABI ONILEGBALE AND SONS,Private Organization,,0,2021,ONGOING,,"Tuesday, October 5, 2021","Wednesday, June 1, 2022",Amuwo Odofin
,"EMERGENCY RENOVATION OF (I) 4NO CLASSROOM BLOCK WITH STORE (II) DRAINAGE (III) KITCHEN AT GOVERNMENT GIRLS SENIOR COLLEGE, AGEGE (EDUCATION DISTRICT I)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202253462105,"30,174,237.50",ARGO ENERGY NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",AGEGE
,Maintenance of Existing Solar Power Infrastructure in the State,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202218664325,"2,500,185.90",ADCON CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETED,"Thursday, August 5, 2021","Wednesday, June 1, 2022",LAGOS
,"Renovation of 2nos, 6 Classrooms and External Toilet Block at Local Government Primary School, Egbe (Education District I)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202210383480,"63,450,003.03",T-MOD UTILITY SERVICES LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 27, 2021","Wednesday, June 1, 2022",EGBE
,Maintenance of Existing Solar Power Infrastructure in the State,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202237365376,"29,661,639.49",AQNA RESOURCES LIMITED,Private Organization,,0,2021,ON-GOING,Awaiting Payment at STO.,"Thursday, August 5, 2021","Wednesday, June 1, 2022",LAGOS
,"Renovation of 5 Classrooms Block and External Toilet Block at Tokunbo Ali Primary School, Ikeja (Education District VI)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202205268186,"25,297,820.34",MORAF INTERLINK CONCEPT LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 27, 2021","Wednesday, June 1, 2022",IKEJA
,Maintenance of Existing Solar Power Infrastructure in the State,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202222613608,"34,962,210.00",GREENHIVE ENERGY LTD,Private Organization,,0,2021,ON-GOING,Awaiting Payment at STO.,"Thursday, August 5, 2021","Wednesday, June 1, 2022",LAGOS
,Maintenance of Existing Solar Power Infrastructure in the State,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202223740647,"116,860,878.06",MANX ENERGY,Private Organization,,0,2021,ON-GOING,AWAITING AT STO,"Thursday, August 5, 2021","Wednesday, June 1, 2022",LAGOS
,"EMERGENCY RENOVATION OF 6NO CLASSROOM BLOCK 2NO CLASSROOM WITH OFFICE AT ELEPE COMMUNITY SENIOR HIGH SCHOOL, IKORODU",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202276818785,"46,488,704.49",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",IKORODU
,Relocation of Underground 3x150mm XLPE IPP Distribution Cable and Decommissioning of the Streetlight Poles On Lagos-Ibadan Expressway.,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202257338548,"12,697,500.00",GREENHIVE ENERGY LTD,Private Organization,,0,2021,COMPLETED,COMPLETED,"Thursday, August 5, 2021","Wednesday, June 1, 2022",LAGOS-IBADAN EXPRESSWAY
,"Renovation of 2no, 6 Classroom Block and Security House at Araomi Nursery School, Palm Avenue, Mushin (Education District VI)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202278822148,"44,047,782.08",STRUCTIAL CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 27, 2021","Wednesday, June 1, 2022","Palm Avenue, Mushin"
,Procurement of Wowbii Interactive Smart Screen,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202271103261,"11,448,750.00",MAGIC FINGERS TECHNOLOGIES LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETED,"Thursday, August 5, 2021","Wednesday, June 1, 2022",LAGOS
,Procurement of IT Solutions at SCRPS Office,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202231858505,"10,152,472.00",BRIDGESPOT KONCEPT,Private Organization,,0,2021,ONGOING,,"Tuesday, October 26, 2021","Wednesday, June 1, 2022",LAGOS
,"Renovation of Administrative block at Odo-obara Senior Secondary School, Epe LGA",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202271684260,"39,127,344.00",ORIYOMMY NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 18, 2021","Wednesday, June 1, 2022",EPE LGA
,"Emergency Renovation of Remedial Work on 12 classrooms block at Langbasa primary school, ado Village, Eti-Osa (education Distruct III)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202247260538,"30,020,576.85",EFFEMMI23 VENTURES,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",ETI-OSA
,Procurement of containerized store and External Office Works in SCRPS OFFICE,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202252168215,"3,702,000.50",COMAGRICS GLOBAL SERVICES,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",LAGOS
,"Emergency Construction of 80M Long Fence with Gate House at Salvation Army Ibiye, Badagry (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202258537740,"10,639,977.50",WECLAT NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022","Ibiye, Badagry"
,Replacement of Vandalized High Voltage Distribution Cable from Anthony to Trem bridge.,LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202200272362,"97,332,112.50",MANX ENERGY,Private Organization,,0,2021,COMPLETED,completed,"Thursday, August 5, 2021","Wednesday, June 1, 2022","Anthony, Lagos"
,"Emergency Renovation of Remedial Work of 17 1 Classrooms Block at Birrel Avenue Senior High School, Yaba (Educatin District IV)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202285242664,"24,724,510.20",VISION INTEGRATED TECHNOLOGY AND ENGINEERING LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",YABA
,"Emergency Renovation of (i) 6 Classroom (ii) Admin Block and (iii) Other External Works at All Saints Primary School, Iju (Education District I)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202257040481,"30,214,089.82",QUILLION LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",IJU
,"EMERGENCY RENOVATION OF REMEDIAL WORKS ON THE 17 CLASSROOM BLOCK WITH 5 OFFICES AND TOILET AT FADEYI/LAGOS MAINLAND LOCAL COMMUNITY PRIMARY SCHOOL, FADEYI, YABA, LAGOS (Education District IV)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202248381603,"57,594,123.68",DOTONI INTEGRATED SERVICES,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022","fadeyi, yaba"
,"Procurement of Laptops, Mandatory e-Procurement Platform Other IT Infrastructure Deficit.",LAGOS STATE ELECTRICITY BOARD,ocds-5q8fsw-6202258810241,"4,517,000.00",S H TECHNOLOGIES,Private Organization,,0,2021,COMPLETED,,"Thursday, August 5, 2021","Wednesday, June 1, 2022","IKEJA, LAGOS"
,"Emergency Renovation of (i) 6 Classroom Block (ii) 6no. Classroom Block/Admin Office (iii) Security House and (iv) External Works at Alimosho Junior Grammar School, Idimu, Alimosho (Education District I)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202203865744,"44,540,588.95",ACURIST SERVICES LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022","Idimu, Alimosho"
,Procurement of IT Consumables Acessories,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202200782528,"25,268,197.50",QISTA TECHNOLOGIES,Private Organization,,0,2021,COMPLETED,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",LAGOS
,"Emergency Rehabilitation of 350M Fence with Construction of Gate House at Local Authority Nursery and Primary School, Badagry (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202230108565,"20,706,351.80",FJS ENGINEERING GLOBAL LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",BADAGRY
,"Emergency Renovation of 18 Classrooms Block at Ireti Senior Grammar School,  Ikoyi (Education District III)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202265356587,"20,531,688.38",BLUE HEMISPHERE MULTIGLOBAL NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",IKOYI
,"Emergency Renovation of (i) Fence Work and (ii) 10 Cubicle Toilet Construction at Anglican Primary School, Akanun Lasugbo, Ikorodu (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202205502716,"50,059,138.67",GOLDHAWK PROPERTY DEVELOPMENT COMPANY LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022","Akanun Lasugbo, Ikorodu"
,"Emergency CONSTRUCTION OF PERIMETER FENCE ON RAFT FOUNDATION AT EJIGBO SENIOR HIGH SCHOOL, EJIGBO (EDUCATION DISTRICT VI)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202246568551,"10,273,654.60",KINGSHOLM LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Wednesday, June 1, 2022",EJIGBO
,"Supply of Computers, Laptops and Other Peripherals",LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202237840182,"10,630,625.00",ULTRA ACE INTERNATIONAL LIMITED,Private Organization,,0,2022,COMPLETED,,Not Available,"Wednesday, June 1, 2022","ALAUSA, LAGOS"
,Supply of Fourth Quarter 2021 ICT Accessories,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202287375331,"2,408,500.00",TRIPLE A INTERNATIONAL COMPANY LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, October 14, 2021","Wednesday, June 1, 2022","ALAUSA, LAGOS"
,Supply of Third Quarter 2021 ICT Accessories,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202271344618,"2,460,677.00",TRIPLE A INTERNATIONAL COMPANY LIMITED,Private Organization,,0,2021,COMPLETED,,"Thursday, October 14, 2021","Wednesday, June 1, 2022","ALAUSA, LAGOS"
,Supply of Office Furniture,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202224368311,"5,814,910.00",CRATIV FURNISHING,Private Organization,,0,2021,COMPLETED,,"Monday, October 18, 2021","Wednesday, June 1, 2022","ALAUSA, LAGOS"
,Supply of 20 Units of Kojak 4-4-2 Finger Print Scanner,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202233645775,"10,696,250.00",IDENTIKO INTEGRATED SOLUTION LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, October 4, 2021","Wednesday, June 1, 2022","ALAUSA, LAGOS"
,Servicing of Listed Laserjet Printers,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202236758088,"466,012.50",ATADEL VENTURES,Private Organization,,0,2021,COMPLETED,,"Thursday, September 30, 2021","Wednesday, June 1, 2022","ALAUSA, LAGOS"
,Supply 30 Units of OX 18 Standing Fan and 1 Unit of Hisense 1HP Air Conditioner,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-6202214485522,"1,844,001.25",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, July 9, 2021","Wednesday, June 1, 2022","ALAUSA, LAGOS"
,"EMERGENCY RENOVATION OF REMEDIAL WORKS ON THE 6 CLASSROOM BLOCK AT COMMUNITY PRIMARY SCHOOL, IBEREKODO LEKKI, LAGOS (Education District III)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202284172127,"29,766,126.50",ARCHITOUCH CONSULT LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, October 20, 2021","Tuesday, May 31, 2022",Unspecified
,"Emergency Renovation of Remedial Work on 6no. Classroom Bungalow at Arakan Barracks Nursery and Primary School, Bondary Road, Apapa (Education District IV)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202222712502,"32,188,123.00",GOLDEN DOVE GLOBAL COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Tuesday, May 31, 2022",APAPA
,"Emergency Renovation of 17 1 Classroom at Ire-Akari Junior Grammar School, Okota (Education District VI)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202278476740,"14,833,896.00",GREENMOUNT GLOBAL LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 20, 2021","Tuesday, May 31, 2022",OKOTA
,"construction of a block of 18 classroom admin block at odo obara junior high school, Epe (Education District III)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202240717050,"274,861,804.63",WESTERNFIELD EXPERTS CONSTRUCTION LTD,Private Organization,,0,2021,ONGOING,,"Friday, October 8, 2021","Tuesday, May 31, 2022",EPE
,"RENOVATION OF 12 CLASSROOM BLOCK 6 CLASSROOM BLOCKS AT LOW COST HOUSING ESTATE NURSERY AND PRIMARY SCHOOL, OKE AFA (LOT 56)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202288438154,"35,365,202.80",MARY JOSH INTERNATIONAL RESOURCES LTD*,Private Organization,,0,2021,ONGOING,,"Friday, September 10, 2021","Tuesday, May 31, 2022",OKE AFA
,"CLEARING OF BUSHES, LEVELING OF ACCESS ROAD TO SITE, PAINTING OF ADJACENT BUILDING AND EXTERNAL WORKS AT LAGOS STATE MODEL COLLEGE IGBOKUTA, IKORODU, LAGOS",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202275225210,"2,742,918.94",TYNEDALE INVESTMENT LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, September 15, 2021","Tuesday, May 31, 2022","IGBOKUTA, IKORODU,"
,"GRADING OF ACCESS ROAD, REHABILITATION OF ADJACENT BUILDINGS AND EXTERNAL WORKS AT ALAGBADO JUNIOR GRAMMAR SCHOOL, ALAGBADO, LAGOS",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202206364415,"9,942,223.52",PECKSGREY NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, September 15, 2021","Tuesday, May 31, 2022",Unspecified
,RENOVATION OF 1NO. CLASSROOM BLOCK and CONSTRUCTION OF 516M LONG FENCE at COMMUNITY NURSERY AND PRIMARY SCHOOL ESEPE OBELE (EDUCATION DISTRICT V),SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202280811052,"55,910,887.66",DEEDEEA INTEGRATED SERVICES LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, September 15, 2021","Tuesday, May 31, 2022",Unspecified
,construction of a fence work (650m Long) Raft Foundation (Education District V),SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202278853548,"79,485,528.49",JOCHAFIK NIG COMPANY,Private Organization,,0,2021,ONGOING,,"Friday, October 8, 2021","Tuesday, May 31, 2022",LAGOS
,"Construction of a block of 18 classrooms admin block on pile foundation at ajegunle junior high school, kosofe (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202284457343,"622,201,814.94",BRASS CONSULT LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, October 6, 2021","Tuesday, May 31, 2022","KOSOFE, LAGOS"
,"CONSTRUCTION OF ADDITIONAL 52M LONG PERIMETER WALL FENCE AND CLEARING OF THE ENTIRE SCHOOL LAND AT LAGOS STATE GIRLS SENIOR MODEL COLLEGE, AGUNFOYE ODO-NLA, IGBOGBO, IKORODU, LAGOS",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202257342082,"27,192,025.03",BIZOYIN AND COMPANY NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, September 24, 2021","Tuesday, May 31, 2022","AGUNFOYE ODO-NLA, IGBOGBO, IKORODU"
,Supply of Microsoft Window Server Licence,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-5202207076716,"2,233,791.92",IDENTIKO INTEGRATED SOLUTION LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, July 14, 2021","Tuesday, May 31, 2022","ALAUSA, IKEJA"
,Supply of Motor Vehicle Tyres,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-5202251282532,"1,187,558.00",CORECRAFT FAM SPACE VENTURES,Private Organization,,0,2021,INACTIVE,,"Monday, June 7, 2021","Tuesday, May 31, 2022","ALAUSA, IKEJA"
,Procurement of Additional Management and Safety Equipment for LASTMA,LAGOS STATE TRAFFIC MANAGEMENT AGENCY,ocds-5q8fsw-5202275373261,"185,715,000.00",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Private Organization,,0,2022,COMPLETED,,"Monday, March 22, 2021","Tuesday, May 31, 2022","OSHODI, LAGOS"
,"construction of a block of 18 classroom admin block on raft foundation at araromi ilogbo junior grammar school, oko-afo, badagry",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202213083167,"286,413,180.67",HINVEIR LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, October 8, 2021","Tuesday, May 31, 2022","oko-afo, badagry"
,Provision of Dedicated Internet Service for IPsec VPN Connectivity from LASRRA HQ to ABAT,LAGOS STATE RESIDENTS REGISTRATION AGENCY,ocds-5q8fsw-5202287787252,"1,956,500.00",PROLINE TECHNOLOGIES LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, May 26, 2021","Tuesday, May 31, 2022","ALAUSA, IKEJA"
,Procurement of Customized Safety Desert Boot for LASTMA Officers.,LAGOS STATE TRAFFIC MANAGEMENT AGENCY,ocds-5q8fsw-5202215116625,"43,125,000.00",YIKODEEN FOOTWEAR LTD,Private Organization,,0,2021,COMPLETED,,"Sunday, June 6, 2021","Tuesday, May 31, 2022","OSHODI, LAGOS"
,"construction of a block of 18 classroom admin block on pile foundation at state senior high school, surulere",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-5202238166872,"375,735,428.68",PEOPLE S CHOICE PROPERTIES LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, October 8, 2021","Tuesday, May 31, 2022",SURULERE LAGOS
